# Copyright Notice:  Al Jones 2005 - 2013
# License: This file in its original form may be distributed freely.
# This file may be modified for personal use only; any modified version
# of this file may not be distributed or published by any means.

# I'd like to remind you all that FontOrg is a shareware program.
# It takes a considerable amount of time to update it and its asscociated files.
# If you find yourself using it on a regular basis I'd appreciate you tipping
# something into my PayPal Account.  The link to it can be found at FontOrg.us
# Thanks //al

#  Where I havent found a foundry - as a last resort - lets stick
#  it into a folder of the program that created them

by ALLTYPE	_AllType
Southern Softeware	Southern Software
Southern Software	Southern Software
Space Station	Space Station
SpaceBug 32 Unlimited	SpaceBug 32 Unlimited
SpadeFonts	Spade Fonts
#Spark	Spark
SPC Online	SPC Online
Spectrum Designs	Spectrum Designs
Spiece Graphics	Spiece Graphics
Splash	Splash
Spork Thug Typography	Spork Thug Typography
Sports Interactive	Sports Interactive
Spring System	Spring System
SPSL	SPSL
SPSS Inc	SPSS Inc
SquaresVille	SquaresVille
SRB-Powers	SRB Powers
SRH?miu	SRH
SRY Enterprises	SRY Enterprises
S. S. Studio	SS Studio
St Rachan Typeworks	St Rachan Typeworks
Stampin' Up	Stampin' Up
"STAR, ebc"	Star
Star Division	Star Division
Star Retrieval Systems	Star Retrieval Systems
Starboifonts	Starboi Fonts
Starving?4?Entertainment	Starving 4 Entertainment
STATIC DISPLAY	Static Display
Static Type Foundry	Static Type Foundry
Statica Productions	Statica Productions
STC Practik	STC Practik
Steepler Ltd	Steepler Ltd
STEMM Productions	STEMM Productions
Stephenson Blake Holdings	Stephenson Blake Holdings
StereoType	StereoType
Stereotypes.de	Stereotypes.de
Sterling Court Publishing	Sterling Court Publishing
STF Services Corporation	STF Services Corporation
StickFonts	Stick Fonts
StickFonts	StickFonts
Still Ill Productions	Still Ill Productions
StimulEye Fonts	StimulEye Fonts
by stip	Stip
Stock Graphics	Stock Graphics
stone co	Stone Co
Stone Type Foundry	Stone Type Foundry
Stoney Billy	Stoney Billy
(c)???stf	Storm Type Foundry
(c)?stf	Storm Type Foundry
StormType	Storm Type Foundry
1.01  Stowaway	Stowaway
StreetWise Software	Street Wise Software
StretWise Software	Street Wise Software
© StuArt	StuArt Fonts
Stuart. 20??	StuArt Fonts
Studio?Bob	Studio Bob
Studiocharlie	Studio Charlie
Studio Dumbar	Studio Dumbar
Studio Kmzero	Studio Kmzero
Studio OKNO	Studio Okno
StudioROP	Studio ROP
Studio Sans-1	Studio Sans 1
Studio Unger	Studio Unger
stupid Osaka	Stupid Osaka
Sturmkatze Produktions	Sturmkatze Produktions
Style-7	Style-7
Stylus Digital Typography	Stylus Digital Typography
Stylus Lettering & Typography	Stylus Lettering & Typography
Sub Communications	Sub Communications
SUB010	SUB010
subatomicglue	SubAtomicGlue
Subtitude	Subtitude Foundry
SubType Foundry	SubType Foundry
Sucharaka Paradise	Sucharaka Paradise
Suck Poo Gravy	Suck Poo Gravy
SudTipos	Sudtipos
Suitcase Type	Suitcase Type Foundry
Tomas Brousil	Suitcase Type Foundry
Summer Institute of Linguistics	Summer Institute of Linguistics
SummerNytz	Summer Nytz
summit infotech	Summit Infotech
Summit	Summitsoft Corp
SunDesign	Sun Design
Sun MicroSystems	Sun Micro Systems
SunMoon Font	SunMoon Font
SunWalk	SunWalk FontWorks
Suomi Type Foundry	Suomi Type Foundry
SuperFunk	Super Funk
Superfluous Type	Superfluous Type
Superlooper	Superlooper
SuperSoft	SuperSoft
Supra Soft	Supra Soft
Surface Design Group	Surface Design Group
Surface Type	Surface Type
Suvi Information Systems	Suvi Information Systems
Swamp Design	Swamp Design
Swat Kat	Swat Kat
Swathanthra Malayalam Computing	Swathanthra Malayalam Computing
SwearBoy	SwearBoy
Darcy Baldwin	Sweet Shoppe Designs
SWF Extract	SWF Extract
Swfte Interntational	SWFTE International
SWFTE International	SWFTE International
Swordfish Design	Swordfish Design
Swordfish Type	Swordfish Type Factory
SOCOG	Sydney Organising Committee
Sydney 2000 Olympic Games	Sydney Organising Committee
Sydney Organising Committee	Sydney Organising Committee
Sylvestre Studios	Sylvestre Studios
Synergie	Synergie
Synergistic Designs	Synergistic Designs
Don Synstelien	Synstelien Designs
Synstelien Designs	Synstelien Designs
SynthesisSoft	Synthesis Soft
Syriac Computing Institute	Syriac Computing Institute
Syriac Institute	Syriac Institute
SystaGrowth	Systa Growth
System Designers	Systems Designers Group
Systems Designers Group	Systems Designers Group
?T26?	T-26
?T-26?	T-26
1110 N. Milwaukee	T-26
Anuthin Wongsunkakon	T-26
Bill Dawson	T-26
Frank Heine	T-26
Jakob Straub	T-26
Jim Marcus	T-26
Luiz Da Lomba	T-26
Matius Gerardo Grieck	T-26
Peter Bruhn	T-26
T ?26]	T-26
t26.com	T-26
Tomi Haaparanta	T-26
Tsuyoshi Nakazako	T-26
tabertype	Taber Type
Tabone Computer Centre	Tabone Computer Centre
Tack-O-Rama	Tack O Rama
TAE Systems	TAE Systems
TagTeamType	Tag Team Type
Tail Spin Studio	Tail Spin Studio
Taishi Yokoyama	Taishi Yokoyama
Takasakiyama Font House	Takasakiyama Font House
Tama?Factory	Tama Factory
TamaFactory	Tama Factory
Azhagi	Tamil Fonts
Kalaimani	Tamil Fonts
Thukaram Gopalrao	Tamil Fonts
TarmSaft	TarmSaft Font Factory
tatsdesign	Tats Design
TattooFont3D	TattooFont3D
tavistock type	Tavistock Type
TazThemes	Taz Themes
tcvn-5712	TCVN 5712
TeA Calcium	TeA Calcium
Teabeer Studios	Teabeer Studios
Team Dalmatian Design	Team Dalmatian Design
TeamAXis Corp	TeamAXis Corp
Technical Corp	Technical Corp
TechnoFace Digital	TechnoFace Digital
TechnoTrend AG	TechnoTrend AG
TeGe Type	TeGe Type
Teknia Software	Teknia Software
Telemark Software	Telemark Software
Telenor	Telenor
Temperament Form	Temperament Form
Tepid Monkey	Tepid Monkey
Terminal Design	Terminal Design
terranova estaleiro tipografico	Terranova
200? TERRITORY	Territory
Teslefantic	Teslefantic
Test Pilot	Test Pilot
tetsuo organic	Tetsuo Organic
TeX fonts	TeX Users Groups
TeX USERS GROUPS	TeX Users Groups
Texas Instruments	Texas Instruments
Textaxis	Textaxis
Thai Electronic Publishing	Thai Electronic Publishing
Thi Fonts	Thai Fonts
2547_	Thai Fonts
2548_	Thai Fonts
iannnnn	Thai Fonts
Numchoke Sinmongkolraksa	Thai Fonts
tusstore	Thai Fonts
thaifont.tk	thaifont.tk
The1	The 1
The Aaron Group	The Aaron Group
the.bend	the bend
TheChase	The Chase
The Entente	The Entente
the Font Company	The Font Company
Copyright 199? The FontMaker	The FontMaker
Copyright 200? The FontMaker	The FontMaker
Fontry	The Fontry
(c) The Foundry	The Foundry
(the foundry)	The Foundry
199? The Foundry	The Foundry
by The Foundry	The Foundry
copyright the foundry	The Foundry
"the foundry, london"	The Foundry
The Girl Who Cried Type	The Girl Who Cried Type
Thinkdust	Thinkdust
Third Entertainment	Third Entertainment
copyright thirst	Thirst
trademark of thirst	Thirst
Thirstype	Thirstype
This Is My Town	This Is My Town
This Is Typography	This Is Typography
Thomasso Corporation	Thomasso Corporation
Three Islands Press	Three Islands Press
(c) TMI	Three Mile Island
Three Mile Island	Three Mile Island
Three Steps Ahead	Three Steps Ahead
Thud's Cave Art	Thud's Cave Art
tkwhimsy	THWhimsy
Tibetan Computer Resource Centre	Tibetan Computer Resource Centre
Tilde Limited	Tilde Limited
Tilde Ltd	Tilde Limited
Tilde Press	Tilde Press
Tim Rolands Digital Typography	Tim Rolands Digital Typography
Timberwolf Type	Timberwolf Type
Tinypole-Heaven	Tinypole Heaven
Tipop?tamo Fontes	Tipopotamo Fontes
Tiro TypeWorks	Tiro TypeWorks
Titivillus Foundry	Titivillus Foundry
Title Wave	Title Wave
TL-Type	TL Type
tmcomputer	TM Computer
Copyright (c) TMI	TMI
TOKO+ALL	TOKO
TombSweetTomb	Tomb Sweet Tomb
Tomcat Type	Tomcat Type
Tonalcase	Tonalcase
TooCool Fonts	Too Cool Fonts
Tooraj Enayati	Tooraj Enayati
TopWare	Top Ware
Total Distortion Type	Total Distortion Type
Totem t.f.	Totem Design
T-O-T's	T-O-T's
Tour De Force	Tour De Force
Rob Dobi	Toxic Type
Toxic Type	Toxic Type
TrFonts	TR Fonts
trace foundation	Trace Foundation
TracerTong	Tracer Tong
Trafik	Trafik Police
#TransType	Trans Type	a program
TRANSCONSULTING	TransConsulting
Translation Experts	Translation Experts
tre bomb nation	Tre Bomb Nation Font Archive
tfi. all world	Treacyfaces Inc
Joseph Treacy	Treacyfaces Inc
Treacyfaces	Treacyfaces Inc
TreeHouse Graphic	TreeHouse Graphic Design
Tribeca Interactive	Tribeca Interactive
TriChlor	Trichlor Group
#viscii fonts	TriChlor Software
Trident Software	Trident Software
Troll	Troll
TRUCK FONT	Truck Fonts
trueblue	TrueBlue
truetex.com	TrueTeX Software
t-type	t-type
TungFont	Tung Font Soft
TurnTable Media	Turn Table Media
Twentieth Century Fox	Twentieth Century Fox
TwinBridge Software	Twin Bridge Software
Twisted Space	Twisted Space
TwistedType	Twisted Type
Twisty	Twisty
TwitterBug Lane	TwitterBug Lane Fonts
Twobees	Two Bees
Two Moon	Two Moon
TwoMoon	Two Moon
2peas	Two Peas
Two Peas	Two Peas
TwoPeasInABucket	Two Peas
TYGRA	TYGRA
Typadelic	Typadelic
Type Associates	Type Associates
TYPEfetish	Type Fetish
Type fonts and son	Type Fonts And Son
Type Innovations	Type Innovations
Type-labo Corporation	Type Labo Corporation
Type Pirate	Type Pirate
Type-Ranger	Type Ranger
Type Revivals	Type Revivals
Type Solutions	Type Solutions
Typetogether	Type Together
type-together	Type Together
Type4	Type4
Typeart	Typeart Foundry
Typebox	Typebox
Typecaste	Typecaste
typedepot	typedepot Inc
typedepot Inc	typedepot Inc
Typefab	Typefab
Typefolio Digital Foundry	Typefolio Digital Foundry
TypeHaus	TypeHaus
Typejockeys	Typejockeys
Type Market	TypeMarket
TypeMarket	TypeMarket
typeology.com	typeology.com
Type ?? ?Tones	Type-O-Tones
Type???Tones	Type-O-Tones
Type-?S-Tones	Type-O-Tones
type-\257-tones	Type-O-Tones
type--tones	Type-O-Tones
TypePhases	TypePhases
typerbole	typerbole
Typerware	Typerware
Types'R'Us	Types 'R' Us
Typesenses	Typesenses
Typesettra	Typesettra	# Adobe
typeshack	Typeshack
TypeShop	TypeShop
TypeType	TypeType
Typeworx	Typeworx
TypIck	Typick
typo5.com	Typo5.com
TypOasis	TypOasis
Typodermic	Typodermic
Typografski	Typografski
Typographer Mediengestalter	Typographer Mediengestaltung
Typographer Mediengestaltung	Typographer Mediengestaltung
Typographer Mediengstaltung	Typographer Mediengestaltung
TypographerMediengestaltung	Typographer Mediengestaltung
Typographrer Mediengestaltung	Typographer Mediengestaltung
Typygrapher Mediengestaltung	Typographer Mediengestaltung
typography.jp	Typography JP
TypoLogic	TypoLogic
typopathetical	Typopathetical
TypoPhage	TypoPhage
Typosition	Typosition
Typotheque	Typotheque
Typothetical	Typothetical
U.O.R.G.	U.O.R.G.
Ubisoft Entertainment	Ubisoft Entertainment
Uddi Uddi	Uddi Uddi
uddiuddi	Uddi Uddi
udduddi	Uddi Uddi
UG Solutions	UG Solutions
Ugly Fonts	Ugly Fonts
Ultra Vertex	Ultra Vertex
ua type	UnAuthorized Type
UnAuthorized Type	UnAuthorized Type
UNC Chapel Hill	UNC Chapel Hill
Uncle Dave's Oakstand Enterprises	Uncle Dave's Oakstand Enterprises
UnderWare	UnderWare
Unibrain S.A.	Unibrain S.A.
Union Type Supply	Union Type Supply
Unionway International	Unionway International
United Parcel Service	United Parcel Service
Unity Progress	Unity Progress
unifonts.com	Unitype International
Unitype	Unitype International
University of Leeds	University of Leeds
uknown soldier	Unknown Soldier
unknown soldier	Unknown Soldier
Unrender.com	Unrender
Unternehmensberatunge	Unternehmensberatunge
UpGrade Systems	UpGrade Systems
Urban Tee	Urban Tee
UrbanPixel	UrbanPixel
URDT	URDT
Urdu Web	Urdu Web
Ururu	Ururu
\050urw	URW
tradename of urw	URW
(URW)++	URW
by urw	URW
Data ? 199? URW	URW
from URW	URW
URW & SoftMaker	URW
URW Software	URW
URW T1 MAC Font	URW
URW Unternehmensberatunge	URW
URW++	URW
? 1998 UTOPIA	UtopiaFonts
UtopiaFonts	UtopiaFonts
Utrecht Univ	Utrecht University
Uyghur Computer Science	Uyghur Computer Science Assoc
UYUM M?HENDiSLiK	Uyum Muhendislik
VFive	V Five
Valve Corporation	Valve Corporation
VANAVIL SOFTWARE	Vanavil Software
Vance'z Front Page	Vancez Front Page
On The Fluid	Vandal on the Fluid
VANGUARD MEDIA	Vanguard Media
Vapour Trail	Vapour Trail
Vasava ArtWorks	Vasava ArtWorks
VASAVA FONTS	Vasava ArtWorks
vega software	Vega Software
V?gverket	Vegverket
Venting Out Graphics	Venting Out Graphics
Ventingoutgraphics	Venting Out Graphics
Verbum AB	Verbum AB	# adobe
Veredgf	Veredgf
Veronika Grnger	Veronika Grnger
Versus Twin	Versus Twin
VersusTwin	Versus Twin
VESTURB?R FONTS	Vesturbaer Fonts
ViaCom	ViaCom
Victory Type	Victory Type
Vietkey Group	Vietkey Group
VietNet Internet Software	VietNet Internet Software
Vigilante TypeFace	Vigilante TypeFace
Village Incubator	Village Incubator
Village Type	Village Type & Design
Vintage Type	Vintage Type
vinterstille	Vinterstille
Virgiliu Pop	Virgiliu Pop
Virus	Virus
Subtle Studios	Visage Type
Visage Type	Visage Type
VISCII	VISCII
viscom group	Viscom Group
Vision Group	Vision Group
Vision Studio	Vision Studio
Vissol Ltd	Vissol Ltd
Visual Graphics Corporation	Visual Graphics Corporation	# adobe
visual pollution	Visual Pollution
Visual Stimulus	Visual Stimulus
VISUAL SYSTEMS	Visual Systems
Visualogik	Visualogik
Vita BBS	Vita Bbs
VkM78	VKM78
VM Studio	VM Studio Design
vn-fonts group	VN Fonts Group
VNLabs	VN Labs
VNI	VNI Software
volcano type	Volcano Type
volker schnebel	Volker Schnebel
VOLKSWAGEN	Volkswagen
VOLVO	Volvo
Vortex Studios	Vortex Studios
Voyetra Technologies	Voyetra Technologies
VPS Font	VPS Fonts
Wa2ise	Wa2ise
waap designs	WAAP Designs
Wada Laboratory	Wada Laboratory
Walden Font	Walden Font
Disney	Walt Disney Company
WantedFonts	Wanted Fonts
Ward Technologies	Ward Technologies
Warehouse Type Foundry	Warehouse Type Foundry
Warner Bros. Records	Warner Brothers Records
Warner Brothers Records	Warner Brothers Records
Watchtower	Watchtower Bible and Tract Society
WazzWare Productions	WazzWare Productions
WC Fonts	WC Fonts
Weasel Boxing Company	Weasel Boxing Company
W.S.I.	Weatherly Systems
Weatherly Systems	Weatherly Systems
WSI ?FONT Collection	Weatherly Systems
WSI ?Fonts Collection	Weatherly Systems
WSI-Font	Weatherly Systems
WebDog	Web Dog
Web Elegance	Web Elegance
WebFoot	Web Foot
Web Of Dreams	Web Of Dreams
WednesdayLove	Wednesday Love
Weedhopper Press	Weedhopper Press
Weight Lessness Graphics	Weight Lessness Graphics
Weird Science	Weird Science
Weleda AG	Weleda AG
WenQuanYi Board	WenQuanYi Project
West Wind Fonts	West Wind Fonts
WetWired Fonts	Wet Wired Fonts
WhatKnot	What Knot
WhipperSnapperDesigns	Whipper Snapper Designs
White Dog Communication	White Dog Communication
White Wolf	White Wolf Game Studio
WhiteWolf	White Wolf Game Studio
Whiteshell	Whiteshell
~whoami	Who Am I Design
WhoAmI	Who Am I Design
www.btinternet.com/~whoami	Who Am I Design
www.whoamidesign.freeserve	Who Am I Design
whole foods market	Whole Foods Market
WickHop	WickHop
WidgetsWorld	Widgets World
Wiescher-Design	Wiescher Design
will-software	Will Software
Will Strain Design	Will Strain Design
Wilton Foundry	Wilton Foundry
WinMyanmar Systems	Win Myanmar Systems
Winacc	Winacc
Wind-Up Records	Wind Up Records
WiniFontMagic	WiniFont Magic
WinSoft	WinSoft International
WizardWorks	Wizard Works
Wizards of the Coast	Wizards Of The Coast
WOBBLY	Wobbly
1999 WOF	WOF
WolfBainX	WolfBainX
Wolfram Research	Wolfram Research
Bearded, LP	Wood Type Revival
Wooden Type	Wooden Type
WoodenType	Wooden Type
Woodscrew	Woodscrew
Woodsloke Fonts	Woodsloke Fonts
Woodsmith Software	Woodsmith Software
wopi.art.pl	Wopi Art
Word of Fonts	Word of Fonts
WordPerfect	WordPerfect Corporation
WordStar International	WordStar International
Wordstream Inc	Wordstream Inc
World Typeface Center	World Typeface Center	# Adobe
The Wright Group	Wright Group
wundes.com	Wundes Foundry
Wundes Foundry	Wundes Foundry
Wunn?Way Software	Wunn Way Software
WUNN-WUNN Software	Wunn Way Software
WYSIWYG Corporation	WYSIWYG Corporation
X Consortium	X Consortium
X XXXX Bassett	X XXXX Bassett
Xara Studio	Xara Studio
Xaviera Comics	Xaviera Comics
Xentronix	Xentronix
Xerotype	Xero Type
xero-type	Xero Type
Xerox	Xerox
XG-Fonts	XG Fonts
Ximplex Corporation	Ximplex Corporation
XRMX Software Solutions	XRMX Software Solutions
X-Space Design Font	X-Space Design Font
XTrem-Fontz	XTrem Fontz
y&y	Y & Y
Yagi Design Room	Yagi Design Room
YangJae Media	YangJae Media
YankoSoft	YankoSoft
Yellow Design Studio	Yellow Design Studio
Yellow Warbler Productions	Yellow Warbler Productions
Yikes Productions	Yikes Productions
Yikes! Productions	Yikes Productions
YLD001	YLD001
YOFon??s	YO Fonts
YOFonts	YO Fonts
Yo-yo Rarandays	Yo Yo Rarandays
yoon design	Yoon Design
YoonDesign	Yoon Design
YouWorkForThem	You Work For Them
www.yourfonts.com	YourFonts
Zang??O??Fonts	Zang O Fonts
Zang?O?Fonts	Zang O Fonts
zemi netudu Inc	Zemi Netudu Inc
Zeon Corporation	Zeon Corporation
Zeptonn	Zeptonn
ZeroStyle Type Design	Zero Style Type Design
ZetaFonts	Zeta Fonts
Zetuei Fonts	Zetuei Fonts
Zher Graffiti Productions	Zher Graffiti Productions
Zhongyi Electronic	Zhongyi Electronic
Zitfonts	Zitfonts
Zogoz Design	Zogoz Design
Zone Erog?ne	Zone Erogene
Zone23	Zone23
Zook Copr	Zook Copr
Zowie Fonts	Zowie Fonts
Zowie! Originals	Zowie Fonts
ZSF SoftFont Studio	ZSF SoftFont Studio
ZSoft Corporation	Zsoft Corporation
